"filename", "language", "TypeScript", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.js", "JavaScript", 0, 0, 94, 1, 0, 95
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.js", "JavaScript", 0, 0, 48, 0, 0, 48
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.js", "JavaScript", 0, 0, 22, 0, 0, 22
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.js", "JavaScript", 0, 0, 131, 1, 0, 132
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.js", "JavaScript", 0, 0, 92, 1, 0, 93
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.service.d.ts", "TypeScript", 19, 0, 0, 0, 1, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.service.js", "JavaScript", 0, 0, 98, 1, 0, 99
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.controller.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.controller.js", "JavaScript", 0, 0, 121, 1, 0, 122
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.dto.d.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.dto.js", "JavaScript", 0, 0, 85, 1, 0, 86
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.service.js", "JavaScript", 0, 0, 93, 1, 0, 94
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.js", "JavaScript", 0, 0, 10, 0, 0, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.controller.js", "JavaScript", 0, 0, 1, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.dto.js", "JavaScript", 0, 0, 4, 0, 0, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.module.js", "JavaScript", 0, 0, 2, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.service.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.service.js", "JavaScript", 0, 0, 30, 0, 0, 30
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/team_user/team_user.controller.js", "JavaScript", 0, 0, 4, 0, 0, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.js", "JavaScript", 0, 0, 9, 0, 0, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.d.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.js", "JavaScript", 0, 0, 13, 0, 0, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.js", "JavaScript", 0, 0, 5, 0, 0, 5
