"filename", "language", "TypeScript", "JSON", "Ignore", "Docker", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/messages/messages.service.js", "JavaScript", 0, 0, 0, 0, -93, -1, 0, -94
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.js", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 34
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.module.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.service.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.service.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 42
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.controller.d.ts", "TypeScript", -2, 0, 0, 0, 0, 0, -1, -3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.controller.js", "JavaScript", 0, 0, 0, 0, -16, -1, 0, -17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.module.d.ts", "TypeScript", -2, 0, 0, 0, 0, 0, -1, -3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.module.js", "JavaScript", 0, 0, 0, 0, -21, -1, 0, -22
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.service.d.ts", "TypeScript", -2, 0, 0, 0, 0, 0, -1, -3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notification/notification.service.js", "JavaScript", 0, 0, 0, 0, -16, -1, 0, -17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/reports/reports.controller.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/reports/reports.controller.js", "JavaScript", 0, 0, 0, 0, 162, 0, 0, 162
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/reports/reports.module.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 11
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/reports/reports.service.d.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 43
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/reports/reports.service.js", "JavaScript", 0, 0, 0, 0, 377, 0, 6, 383
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/roles/roles-description/roles-description.dto.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/roles/roles-description/roles-description.dto.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/roles/roles_permissions/roles_permissions.module.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/roles/roles_permissions/roles_permissions.service.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, -3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.service.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user-create.dto.d.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 1, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user-create.dto.js", "JavaScript", 0, 0, 0, 0, 242, 1, 0, 243
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 22
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.module.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 14
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 43
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_login/user_login.service.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_login/user_login.service.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/package-lock.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 66
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/app.module.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/configs/config.service.ts", "TypeScript", -3, 0, 0, 0, 0, 3, 0, 0
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/main.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/brokers/brokers.entity.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/rolesNpermissions/roles_description.entity.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/user.entity.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/brokers/brokers/broker.dto.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/brokers/brokers/brokers.controller.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/brokers/brokers/brokers.service.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/external/external.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/external/external.controller.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/external/external.module.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 2, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/external/external.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/external/external.service.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.controller.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 2, 14
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.module.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.service.ts", "TypeScript", 28, 0, 0, 0, 0, 1, 4, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.controller.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.module.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.service.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 2, 44
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/reports/reports.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/reports/reports.controller.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 18, 211
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/reports/reports.module.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 2, 21
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/reports/reports.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/reports/reports.service.ts", "TypeScript", 409, 0, 0, 0, 0, 4, 33, 446
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/roles/roles-description/roles-description.dto.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/roles/roles-description/roles-description.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/roles/roles_permissions/roles_permissions.module.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/roles/roles_permissions/roles_permissions.service.ts", "TypeScript", -3, 0, 0, 0, 0, 6, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.service.ts", "TypeScript", -3, 0, 0, 0, 0, 10, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user-create.dto.ts", "TypeScript", 176, 0, 0, 0, 0, 0, 22, 198
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.controller.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.dto.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 14
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.service.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 3, 49
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user_login/user_login.service.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 1159, 67, 4, 6, 732, 11, 136, 2115
