"filename", "language", "TypeScript", "Handlebars", "JSON with Comments", "JavaScript", "JSON", "Properties", "Markdown", "Docker", "YAML", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/guards/roles.guard.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 0, 45
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/api-results/standart-results.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/api-results/standart-results.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 0, 60
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/exception-filters/all-exception-filters.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/exception-filters/all-exception-filters.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 0, 24
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.module.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.module.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 0, 24
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.service.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.service.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 0, 91
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/main.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
